desc,column
Air Conditioning,ac
Alarm,alarm
Cable Ready,cableready
Ceiling Fans,ceilfans
Double Vanities,doublevanities
Fireplace,fireplace
Framed Mirrors,framedmirror
Handrails,handrail
Heating,heating
High Speed Internet Access,hsinternet
Intercom,intercom
NA,na
Satellite TV,sattv
Smoke Free,smokefree
Sprinkler System,sprinklers
Storage Units,storage
Surround Sound,ssound
Trash Compactor,trashcompact
Tub/Shower,tubshower
Vacuum System,vacuumsys
Washer/Dryer,washdry
Washer/Dryer Hookup,washdryhookup
Wheelchair Accessible (Rooms),wheelchacc
Wi-Fi,wifi
